Store,Theme,final_theme_score
노량진동,시각적 요소,6.74
노량진동,경험,3.57
노량진동,다양성,5.39
노량진동,특별함,8.26
남성역,분위기,-0.21
남성역,사교 활동,7.8
남성역,시각적 요소,6.32
남성역,경험,3.14
남성역,다양성,4.87
남성역,특별함,5.61
상도역,분위기,-0.73
상도역,사교 활동,9.39
상도역,시각적 요소,5.55
상도역,경험,3.17
상도역,다양성,4.98
상도역,특별함,5.5
보라매공원R,분위기,-0.02
보라매공원R,사교 활동,6.52
보라매공원R,시각적 요소,4.54
보라매공원R,경험,2.79
보라매공원R,다양성,4.37
보라매공원R,특별함,4.84
이수자이,분위기,1.1
이수자이,사교 활동,7.62
이수자이,시각적 요소,6.77
이수자이,경험,3.3
이수자이,다양성,5.05
이수자이,특별함,6.9
노량진역,분위기,-0.46
노량진역,사교 활동,7.12
노량진역,시각적 요소,5.66
노량진역,경험,2.91
노량진역,다양성,4.55
노량진역,특별함,5.95
신대방삼거리역,분위기,-0.87
신대방삼거리역,사교 활동,6.59
신대방삼거리역,시각적 요소,5.77
신대방삼거리역,경험,2.75
신대방삼거리역,다양성,4.38
신대방삼거리역,특별함,5.51
중앙대,분위기,0.77
중앙대,사교 활동,16.64
중앙대,시각적 요소,8.78
중앙대,경험,4.42
중앙대,다양성,6.82
중앙대,특별함,8.73
숭실대입구역,분위기,-0.21
숭실대입구역,사교 활동,10.13
숭실대입구역,시각적 요소,8.87
숭실대입구역,경험,3.6
숭실대입구역,다양성,5.81
숭실대입구역,특별함,6.28
숭실대,분위기,-0.15
숭실대,사교 활동,11.35
숭실대,시각적 요소,9.98
숭실대,경험,4.21
숭실대,다양성,6.58
숭실대,특별함,7.88
사당역,분위기,-0.79
사당역,사교 활동,5.94
사당역,시각적 요소,5.54
사당역,경험,2.77
사당역,다양성,4.52
사당역,특별함,5.02
서강대프라자,분위기,2.9
서강대프라자,사교 활동,18.73
서강대프라자,시각적 요소,16.36
서강대프라자,경험,7.34
서강대프라자,다양성,9.5
서강대프라자,특별함,28.36
상암YTN,분위기,0.78
