Store,Theme,final_theme_score
노량진동,청결도,8.02
노량진동,집중도,8.04
노량진동,가성비,6.7
남성역,분위기,1.56
남성역,공간,2.91
남성역,서비스,4.24
남성역,청결도,6.91
남성역,집중도,7.34
남성역,가성비,6.16
상도역,분위기,2.36
상도역,공간,2.48
상도역,서비스,4.08
상도역,청결도,6.86
상도역,집중도,7.39
상도역,가성비,5.44
보라매공원R,분위기,0.97
보라매공원R,공간,1.13
보라매공원R,서비스,3.76
보라매공원R,청결도,6.37
보라매공원R,집중도,6.43
보라매공원R,가성비,4.41
이수자이,분위기,1.31
이수자이,공간,3.18
이수자이,서비스,4.24
이수자이,청결도,7.37
이수자이,집중도,7.72
이수자이,가성비,3.9
노량진역,분위기,1.4
노량진역,공간,2.57
노량진역,서비스,3.95
노량진역,청결도,6.76
노량진역,집중도,6.99
노량진역,가성비,5.46
신대방삼거리역,분위기,1.24
신대방삼거리역,공간,2.78
신대방삼거리역,서비스,3.67
신대방삼거리역,청결도,6.58
신대방삼거리역,집중도,6.62
신대방삼거리역,가성비,3.57
중앙대,분위기,3.96
중앙대,공간,6.07
중앙대,서비스,5.38
중앙대,청결도,10.64
중앙대,집중도,10.96
중앙대,가성비,9.98
숭실대입구역,분위기,2.63
숭실대입구역,공간,4.25
숭실대입구역,서비스,4.75
숭실대입구역,청결도,7.85
숭실대입구역,집중도,8.72
숭실대입구역,가성비,7.69
숭실대,분위기,2.87
숭실대,공간,5.02
숭실대,서비스,5.47
숭실대,청결도,9.38
숭실대,집중도,10.04
숭실대,가성비,6.99
사당역,분위기,0.94
사당역,공간,2.43
사당역,서비스,3.73
사당역,청결도,6.59
사당역,집중도,6.93
사당역,가성비,4.61
서강대프라자,분위기,4.91
서강대프라자,공간,8.07
서강대프라자,서비스,9.4
서강대프라자,청결도,15.85
서강대프라자,집중도,14.19
서강대프라자,가성비,12.7
상암YTN,분위기,1.6
상암YTN,공간,3.12
상암YTN,서비스,4.5
상암YTN,청결도,7.5
상암YTN,집중도,8.08
상암YTN,가성비,3.69
마포용강동,분위기,1.59
마포용강동,공간,3.12
마포용강동,서비스,5.07
마포용강동,청결도,9.32
마포용강동,집중도,9.54
마포용강동,가성비,7.5
홍대입구역사거리R,분위기,1.18
홍대입구역사거리R,공간,1.21
홍대입구역사거리R,서비스,4.1
홍대입구역사거리R,청결도,6.61
홍대입구역사거리R,집중도,6.77
홍대입구역사거리R,가성비,4.86
마포경찰서후문,분위기,2.23
마포경찰서후문,공간,3.63
마포경찰서후문,서비스,6.05
마포경찰서후문,청결도,9.87
마포경찰서후문,집중도,10.2
마포경찰서후문,가성비,3.9
공덕,분위기,1.57
공덕,공간,3.33
공덕,서비스,4.35
공덕,청결도,7.94
공덕,집중도,8.59
공덕,가성비,5.14
합정폴리스R,분위기,1.41
합정폴리스R,공간,2.24
합정폴리스R,서비스,4.85
합정폴리스R,청결도,8.89
합정폴리스R,집중도,9.14
합정폴리스R,가성비,2.11
홍대공항철도역,분위기,1.29
홍대공항철도역,공간,2.69
홍대공항철도역,서비스,3.94
홍대공항철도역,청결도,6.85
홍대공항철도역,집중도,7.12
홍대공항철도역,가성비,5.09
마포염리,분위기,0.84
마포염리,공간,1.88
마포염리,서비스,4.2
마포염리,청결도,6.83
마포염리,집중도,7.65
마포염리,가성비,1.49
서강광흥창역,분위기,2.82
서강광흥창역,공간,5.28
서강광흥창역,서비스,5.31
서강광흥창역,청결도,8.64
서강광흥창역,집중도,9.28
