Store,Theme,final_theme_score
신림,공간,6.19
신림,프라이버시,5.26
신림,서비스,4.94
신림,단체모임,5.6
신림,가성비,7.09
서울대입구역,분위기,0.64
서울대입구역,공간,4.64
서울대입구역,프라이버시,2.43
서울대입구역,서비스,4.28
서울대입구역,단체모임,3.92
서울대입구역,가성비,5.78
서울대입구역8번출구,분위기,5.98
서울대입구역8번출구,공간,14.39
서울대입구역8번출구,프라이버시,7.18
서울대입구역8번출구,서비스,9.94
서울대입구역8번출구,단체모임,8.23
서울대입구역8번출구,가성비,13.24
봉천역,분위기,2.44
봉천역,공간,6.11
봉천역,프라이버시,3.59
봉천역,서비스,4.72
봉천역,단체모임,4.84
봉천역,가성비,6.81
봉천현대시장,분위기,71.66
봉천현대시장,공간,326.45
봉천현대시장,프라이버시,137.54
봉천현대시장,서비스,93.48
봉천현대시장,단체모임,166.88
봉천현대시장,가성비,161.36
건국대,분위기,2.06
건국대,공간,4.94
건국대,프라이버시,2.13
건국대,서비스,4.24
건국대,단체모임,3.78
건국대,가성비,5.36
어린이대공원역,분위기,2.57
어린이대공원역,공간,5.17
어린이대공원역,프라이버시,3.06
어린이대공원역,서비스,5.21
어린이대공원역,단체모임,4.27
어린이대공원역,가성비,7.76
아차산역,분위기,2.56
아차산역,공간,4.69
아차산역,프라이버시,2.09
아차산역,서비스,4.23
아차산역,단체모임,3.41
아차산역,가성비,6.15
올림픽대교북단,분위기,3.56
올림픽대교북단,공간,6.52
올림픽대교북단,프라이버시,5.17
올림픽대교북단,서비스,5.17
올림픽대교북단,단체모임,4.73
올림픽대교북단,가성비,4.96
구의DT,분위기,3.33
구의DT,공간,7.21
구의DT,프라이버시,4.73
구의DT,서비스,5.07
구의DT,단체모임,4.72
구의DT,가성비,1.81
자양사거리,분위기,2.71
자양사거리,공간,6.26
자양사거리,프라이버시,4.98
자양사거리,서비스,5.05
자양사거리,단체모임,4.76
자양사거리,가성비,4.68
군자역,분위기,2.29
군자역,공간,4.53
군자역,프라이버시,4.22
군자역,서비스,4.2
군자역,단체모임,3.3
군자역,가성비,5.65
광나루,분위기,2.78
광나루,공간,6.43
광나루,프라이버시,4.86
광나루,서비스,5.8
